Word,Bigram,Conc.M,Conc.SD,Unknown,Total,Percent_known,SUBTLEX,Dom_Pos
steel,0,4.87,0.35,0,30,1.00,941,Noun
steel band,1,4.86,0.45,0,28,1.00,0,Err:512
steeliness,0,2.48,1.31,4,27,0.85,0,Err:512
steelmaker,0,4.24,1.21,1,30,0.97,0,Err:512
steelmaking,0,3.73,1.25,1,27,0.96,1,Verb
steelwork,0,4.48,0.9,1,24,0.96,0,Err:512
steelworker,0,4.44,1.22,0,27,1.00,1,Noun
steelworks,0,4.3,0.84,0,30,1.00,4,Noun
steely,0,2.44,1.09,2,29,0.93,14,Adjective
steelyard,0,4.64,0.62,1,29,0.97,0,Err:512
steep,0,3.76,1.18,0,29,1.00,125,Adjective
steeper,0,2.95,1.5,3,24,0.88,7,Adjective
steeple,0,4.74,0.53,1,28,0.96,21,Noun
steeply,0,2.88,1.34,2,28,0.93,0,Err:512
steepness,0,3.4,1.45,0,30,1.00,0,Err:512
steer,0,4.19,1.24,1,28,0.96,305,Verb
steerable,0,2.61,1.47,1,29,0.97,0,Err:512
steerer,0,3.74,1.39,4,27,0.85,0,Err:512
steering,0,4,1.21,0,27,1.00,207,Noun
steering wheel,1,4.86,0.45,0,28,1.00,0,Err:512
steeringwheel,0,5,0,0,27,1.00,0,Err:512
steersman,0,4.28,0.89,2,27,0.93,3,Noun
stegosaur,0,4.41,0.84,2,29,0.93,0,Err:512
stegosaurus,0,4.8,0.82,2,27,0.93,5,Noun
stellar,0,2.45,1.38,0,29,1.00,41,Adjective
stem,0,4.63,0.79,0,27,1.00,114,Noun
stem cell,1,4.59,0.64,0,27,1.00,0,Err:512
stemmed,0,3.62,1.24,0,29,1.00,3,Verb
stemming,0,2.5,1.35,1,29,0.97,12,Verb
stemware,0,4.46,1.17,1,29,0.97,6,Noun
stench,0,3.85,1.29,1,28,0.96,113,Noun
stencil,0,4.83,0.59,0,30,1.00,9,Noun
stenograph,0,4.71,0.53,1,29,0.97,0,Err:512
stenographer,0,4.3,1.17,3,30,0.90,41,Noun
stenographic,0,2.96,1.65,4,29,0.86,2,Adjective
stenographical,0,2.38,1.33,3,29,0.90,0,Err:512
stenography,0,3.3,1.56,0,27,1.00,4,Noun
step,0,4.54,0.79,0,28,1.00,6052,Verb
step down,1,3.66,1.32,1,30,0.97,0,Err:512
step forward,1,3.56,1.45,0,25,1.00,0,Err:512
step stool,1,4.78,0.64,0,27,1.00,0,Err:512
step up,1,3.29,1.44,0,31,1.00,0,Err:512
stepbrother,0,4.67,0.73,1,28,0.96,16,Noun
stepchild,0,4.33,1,0,27,1.00,7,Noun
stepdaughter,0,4.07,1.22,0,29,1.00,30,Noun
stepfather,0,4,1.46,0,31,1.00,151,Noun
stepladder,0,4.67,1.03,0,30,1.00,18,Noun
stepmother,0,4.23,1.38,0,30,1.00,216,Noun
stepparent,0,3.89,1.34,2,30,0.93,2,Noun
stepped,0,3.34,1.52,0,29,1.00,656,Verb
stepper,0,3.84,1.21,1,26,0.96,1,Noun
stepping,0,3.63,1.39,1,28,0.96,355,Verb
stepping stone,1,4.41,1.01,0,27,1.00,0,Err:512
steppingstone,0,4.18,1.02,0,28,1.00,1,Noun
steps,0,4.39,1.23,0,28,1.00,1259,Noun
stepsister,0,4.32,1.28,1,29,0.97,17,Noun
stepson,0,3.68,1.47,0,28,1.00,27,Noun
stepstool,0,4.44,1,1,26,0.96,2,Noun
stereo,0,4.63,0.63,0,27,1.00,304,Noun
stereograph,0,4.08,1.38,2,28,0.93,0,Err:512
stereographical,0,2.39,1.23,1,29,0.97,0,Err:512
stereophonic,0,3.08,1.55,4,30,0.87,5,Adjective
stereoscope,0,4.19,1.36,4,30,0.87,0,Err:512
stereoscopic,0,2.76,1.56,4,29,0.86,3,Adjective
stereotype,0,2,1.31,0,29,1.00,36,Noun
stereotyped,0,1.5,0.84,1,29,0.97,6,Adjective
stereotypic,0,1.73,1,1,27,0.96,0,Err:512
stereotypical,0,2,1.22,0,25,1.00,10,Adjective
stereotyping,0,2.71,1.46,0,28,1.00,2,Noun
sterile,0,2.67,1.39,0,27,1.00,111,Adjective
sterility,0,2.28,1.19,0,29,1.00,9,Noun
sterilization,0,3.24,1.38,0,29,1.00,17,Noun
sterilize,0,2.97,1.38,0,30,1.00,24,Verb
sterilizer,0,3.96,1.26,0,28,1.00,2,Noun
sterling,0,3.93,1.24,1,28,0.96,113,Noun
stern,0,2.86,1.43,1,30,0.97,327,Noun
sternly,0,1.87,0.97,2,25,0.92,4,Adverb
sternness,0,2.11,1.28,0,27,1.00,1,Noun
sternum,0,4.69,0.93,0,29,1.00,41,Noun
steroid,0,3.97,1.3,0,29,1.00,20,Adjective
steroids,0,4.52,0.85,0,27,1.00,130,Noun
stethoscope,0,4.86,0.44,0,29,1.00,48,Noun
stew,0,4.43,1.04,0,30,1.00,328,Noun
